a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficients,a4_coefficients,b1,b2,b1_coefficients,b2_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,Perovskite_deposition_thermal_annealing_temperature,Perovskite_deposition_thermal_annealing_time,ETL_stack_sequence,ETL_thickness,HTL_stack_sequence,HTL_additives_compounds,Perovskite_deposition_solvents,JV_default_PCE
(PEA), Cs,,,2,59,,,Pb,,60,,I,,,181,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.09
(PEA), Cs,,,2,59,,,Pb,,60,,I,,,181,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,7.61
(PEA), Cs,,,2,59,,,Pb,,60,,I,,,181,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,6.65
(PEA), Cs,,,2,59,,,Pb,,60,,Br, I,,120.67,60.33,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,9.5
(PEA), Cs,,,2,59,,,Pb,,60,,Br, I,,60.33,120.67,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.9
(PEA), Cs,,,2,59,,,Pb,,60,,Br,,,181,,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,6.5
(PEA), Cs,,,2,9,,,Pb,,10,,Br, I,,10.33,20.67,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,9.46
(PEA), Cs,,,2,39,,,Pb,,40,,Br, I,,40.33,80.67,,25; 50; 75; 100,Unknown; Unknown; Unknown; 30.0,SnO2-np,80,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.2
(PEA), Cs,,,2,39,,,Pb,,40,,I,,,121,,,180,15,TiO2-c,50,PTAA,Li-TFSI; TBP,DMF; DMSO,13.29
(PEA),,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.58
(PEA), (F5PEA),,,0.25,0.75,,,Pb,,1,,I,,,4,,,100,15,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.76
(PEA), FA, MA,,2,0.85,0.15,,Pb,,2,,Br, I,,1.05,5.95,,25; 150,0.0; 20.0,TiO2-c | TiO2-mp,70.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.9
(PEA), FA, MA,,2,0.85,0.15,,Pb,,2,,Br, I,,1.05,5.95,,25; 150,0.0; 20.0,TiO2-c | TiO2-mp,70.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,19.1
(PMA), MA,,,2,1,,,Pb,,1,,I,,,3,,,100,10,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,6.56
(PMA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,9.1
(PMA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,7.8
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,6.77
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,11.53
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,9.18
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.52
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,5.05
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,10.02
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,7.01
(PTA), MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,SnO2-np,40,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,4.47
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.34
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.43
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.859
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,0.306
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.3
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.34
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.39
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.42
(PyrEA),,,,1,,,,Pb,,1,,I,,,4,,,130,10,TiO2-c | TiO2-mp,50.0 | 250.0,Spiro-MeOTAD,Li-TFSI; TBP; FK102,DMF,1.32
Ag,,,,1,,,,Bi,,1,,I,,,4,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.41
Ag,,,,4,,,,Bi,,5,,I,,,19,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.42
Ag,,,,2,,,,Bi,,3,,I,,,11,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.67
Ag,,,,4,,,,Bi,,7,,I,,,25,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.6
Ag,,,,1,,,,Bi,,2,,I,,,7,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.52
Ag,,,,4,,,,Bi,,9,,I,,,31,,,60,150,SnO2-c | TiO2-mp,60,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF,0.56
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,250,30,TiO2-c | TiO2-mp,110,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMSO,0.12
Ag, Cs,,,1,2,,,Bi, Sb,0.75,0.25,Br,,,6,,,250,30,TiO2-c | TiO2-mp,110,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMSO,0.25
Ag, Cs,,,1,2,,,Bi, Sb,0.5,0.5,Br,,,6,,,250,30,TiO2-c | TiO2-mp,110,Spiro-MeOTAD,FK102; Li-TFSI; TBP,DMSO,0.07
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,1.3
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.9,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,1.4
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.8,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,1.8
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.7,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,1.6
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.6,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,1
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.5,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,0.45
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,5.4,,,150,10,TiO2-c | TiO2-mp,10.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMSO,0.2
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,200,5,C60 | BCP,30.0 | 8.0,NiO-c,Cu,DMSO,2.23
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,150,5,C60 | BCP,30.0 | 8.0,NiO-c,Cu,DMSO,0.39
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,250,5,C60 | BCP,30.0 | 8.0,NiO-c,Cu,DMSO,1.99
Ag, Cs,,,1,2,,,Bi,,1,,Br,,,6,,,300,5,C60 | BCP,30.0 | 8.0,NiO-c,Cu,DMSO,1.58
Ag,,,,1,,,,Bi,,1,,I,,,4,,,110; 130; 150,30.0; 30.0; 30.0,TiO2-c | TiO2-mp,40.0 | nan,PTAA,Li-TFSI,DMF; DMSO,2.1
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,11.52
BA, Cs, FA, MA,2,0.1,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.96
BA, Cs, FA, MA,2,0.1,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.96
BA, Cs, FA, MA,2,0.1,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.96
BA, Cs, FA, MA,2,0.1,2.36,0.48,Pb,,3,,Br, I,,1.7,0.83,,100,10,TiO2-c,40,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.96
BA,,,,2,,,,Pb,,1,,I,,,4,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,2.83
BA, MA,,,2,2,,,Pb,,3,,I,,,10,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,7.21
BA, MA,,,2,4,,,Pb,,5,,I,,,16,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,11.28
BA, MA,,,2,6,,,Pb,,7,,I,,,22,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,13.17
BA, MA,,,2,8,,,Pb,,9,,I,,,28,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14.99
BA, MA,,,2,10,,,Pb,,11,,I,,,34,,,105,50,TiO2-c | TiO2-mp,50.0 | nan,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,16.08
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,11.55
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.54
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.04
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,10.96
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,10.45
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,11.2
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,10.89
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,9.31
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.13
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.54
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.96
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,13.92
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,13.25
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,13.26
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,11.2
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,11.75
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.78
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.04
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,12.54
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,10,PCBM-60,60,NiO-c,Cu(Oac)2,DMF; DMSO,13.92
BA, MA,,,2,2,,,Sn,,3,,I,,,10,,,75,5,TiO2-c | TiO2-mp,40.0 | nan,PTAA,TPFB,DMF,1.49
BA, MA,,,2,3,,,Sn,,4,,I,,,13,,,75,5,TiO2-c | TiO2-mp,40.0 | nan,PTAA,TPFB,DMF,1.94
BA, MA,,,2,3,,,Sn,,4,,I,,,13,,,75,5,TiO2-c | TiO2-mp,40.0 | nan,PTAA,TPFB,DMF,2.53
BA, MA,,,2,3,,,Pb,,4,,I,,,13,,,100,15,TiO2-c | TiO2-mp,nan | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,2.39
BA, MA,,,2,2,,,Pb,,3,,I,,,10,,,100,15,TiO2-c | TiO2-mp,nan | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,4.02
BA, MA,,,2,1,,,Pb,,2,,I,,,7,,,100,15,TiO2-c | TiO2-mp,nan | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.39
BA,,,,2,,,,Pb,,1,,I,,,4,,,100,15,TiO2-c | TiO2-mp,nan | 350.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,0.01
BA,,,,2,,,,Pb,,1,,I,,,4,,,300,30,TiO2-c,30,Spiro-MeOTAD,Li-TFSI; TBP,DMSO; GBL,0.4
BA, FA,,,2,3,,,Sn,,4,,I,,,13,,,100,10,TiO2-c | TiO2-mp,50.0 | 200.0,PTAA,Li-TFSI; TBP,DMF; DMSO,3.91
Cs,,,,1,,,,Sn,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0
Cs,,,,1,,,,Sn,,1,,Br, I,,0.3,2.7,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0
Cs,,,,1,,,,Sn,,1,,Br, I,,1.5,1.5,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0.13
Cs,,,,1,,,,Sn,,1,,Br, I,,2.7,0.3,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0.12
Cs,,,,1,,,,Sn,,1,,Br,,,3,,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0.1
Cs,,,,1,,,,Sn,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,1.66
Cs,,,,1,,,,Sn,,1,,Br, I,,1,2,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,1.67
Cs,,,,1,,,,Sn,,1,,Br, I,,2,1,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,1.56
Cs,,,,1,,,,Sn,,1,,Br,,,3,,,100,10,TiO2-c | TiO2-mp,65.0 | nan,Spiro-MeOTAD,Li(CF3SO2)2N; TBP,DMSO,0.95
Cs, FA, MA,,0.05,0.827,0.123,,Pb,,1,,Br, I,,0.369,2.631,,120; 100,10.0; 40.0,SnO2-c,25,Spiro-MeOTAD,Li-TFSI; TPB,DMF; DMSO,18.65
Cs, FA, MA,,0.05,0.827,0.123,,Pb,,1,,Br, I,,0.369,2.631,,150; 100,20.0; 30.0,SnO2-c,25,Spiro-MeOTAD,Li-TFSI; TPB,DMF; DMSO,20.52
Cs, FA, MA,,0.05,0.827,0.123,,Pb,,1,,Br, I,,0.369,2.631,,120; 100,10.0; 40.0,SnO2-c,25,Spiro-MeOTAD,Li-TFSI; TPB,DMF; DMSO,19.43
Cs, FA, MA,,0.05,0.827,0.123,,Pb,,1,,Br, I,,0.369,2.631,,150; 100,20.0; 30.0,SnO2-c,25,Spiro-MeOTAD,Li-TFSI; TPB,DMF; DMSO,20.52
Cs, FA, MA,,0.05,0.827,0.123,,Pb,,1,,Br, I,,0.369,2.631,,150; 100,20.0; 30.0,SnO2-c,25,Spiro-MeOTAD,Li-TFSI; TPB,DMF; DMSO,21.2
Cs, FA, MA,,0.05,0.85,0.5,,Pb,,1,,Br, I,,0.25,2.75,,120,60,TiO2-c | TiO2-mp,30.0 | nan,Spiro-MeOTAD,H-TFSI; TBP,DMF; DMSO,21.2
Cs, FA, MA,,0.05,0.85,0.5,,Pb,,1,,Br, I,,0.25,2.75,,120,60,TiO2-c | TiO2-mp,30.0 | nan,DBC-OMeDPA,H-TFSI; TBP,DMF; DMSO,22
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,80,TiO2-c | TiO2-mp,nan | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,19.1
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,1,,Br, I,,0.45,2.55,,100,80,TiO2-c | TiO2-mp,nan | 150.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,21
Cs, FA,,,0.25,0.75,,,Pb,,1,,Br, I,,0.6,2.4,,100,60,TiO2-c | TiO2-mp | PCBM-60; PMMA,20.0 | nan | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.47
Cs, FA, MA,,0.05,0.855,0.095,,Pb,,1,,Br, I,,0.285,2.565,,100,90,TiO2-c,30,Spiro-MeOTAD,FK209; TBP,DMF; DMSO,14.7
Cs, FA, MA,,0.05,0.855,0.095,,Pb,,1,,Br, I,,0.285,2.565,,100,90,TiO2-c | Sr2CeO4:Sm,3.0 | 50.0,Spiro-MeOTAD,FK209; TBP,DMF; DMSO,17.2
Cs,,,,1,,,,Pb,,1,,Br, I,,2,1,,350,5,TiO2-c | TiO2-mp,4.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.5
Cs,,,,1,,,,Pb,,1,,Br, I,,2,1,,150,5,TiO2-c | TiO2-mp,4.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,8.7
Cs,,,,1,,,,Pb,,1,,Br, I,,2,1,,350,5,TiO2-c | TiO2-mp,4.0 | nan,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12
Cs,,,,1,,,,Pb,,1,,I,,,3,,,100,10,TiO2-c | TiO2-mp,4.0 | 0.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF,5.6
Cs, FA, MA | (EPA),,0.1,0.76, 0.14 | 2,,Pb | Pb,,1 | 1,,Br, I | I,,0.51, 2.49 | 4,,100,60,SnO2-c,20,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,20
Cs, FA, MA,,0.1,0.76,0.14,,Pb,,1,,Br, I,,0.51,2.49,,100,60,SnO2-c,20,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17
Cs, FA, MA,,0.05,0.85,0.15,,Pb,,1,,Br, I,,0.45,2.55,,155,90,TiO2-c | TiO2-mp,50.0 | 200.0,P3HT,Li-TFSI; TBP,DMF,4.4
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,14.31
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.93
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.93
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.93
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF,3.4
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,6.15
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,5.73
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,5.43
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMSO,4.19
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF,6.56
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.41
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.43
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,10.47
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMF; DMSO,9.62
Cs,,,,1,,,,Pb,,1,,Br, I,,1,2,,100,5,SnO2-np,40,PTAA,Li-TFSI; TBP,DMSO,8.71
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.23
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,TiO2-c,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,12.35
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.48
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.76
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,18.2
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.14
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.15
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,16.36
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,7.98
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,15.67
Cs, FA, MA,,0.05,0.81,0.14,,Pb,,0.95,,Br, I,,0.43,2.42,,85,40,NbOx,25,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,10.64
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.3,2.7,,100,40,TiO2-nw,800,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,14.7
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.3,2.7,,100,40,TiO2-nw | TiO2-nw,800.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.7
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.3,2.7,,100,40,TiO2-nw,800,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,13.79
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.3,2.7,,100,40,TiO2-nw | TiO2-nw,800.0 | 200.0,Spiro-MeOTAD,Li-TFSI; TBP,DMF; DMSO,17.3
Cs, FA, MA,,0.05,0.79,0.16,,Pb,,1,,Br, I,,0.51,2.49,,100,60,TiO2-c | TiO2-mp,30.0 | 180.0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,DMF; DMSO,14.9
